experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,note,validator_i_host,validator_j_host
run4-tbt-3s,regionale,1,3,none,true,20,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,1.5040774,1.13950883,9,2,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,21,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.92138123,0,12,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,21,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.92756149,0,0,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,21,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,0.99381974,12,0,12,not computable: a zero count in the epoch,m1,m2
run4-tbt-3s,regionale,1,3,none,true,22,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-2.05339732,0,8,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,22,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-1.02549074,0,4,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,22,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.69314718,1.02790658,8,4,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,23,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-1.25276297,-1.90482754,2,7,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,23,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,-0.40546511,-0.75114691,2,3,12,,m3,m2
run4-tbt-3s,regionale,1,3,none,true,23,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.84729786,1.15368063,7,3,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,24,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-1.38629436,-1.73874792,2,8,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,24,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.0,-0.74586547,2,2,12,,m3,m2
run4-tbt-3s,regionale,1,3,none,true,24,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,1.38629436,0.99288244,8,2,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,25,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.96887095,0,10,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,25,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.99417448,0,2,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,25,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,1.60943791,0.97469648,10,2,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,26,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-2.39789527,-2.07266961,1,11,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,26,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-1.01096709,1,0,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,26,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,1.06170252,11,0,12,not computable: a zero count in the epoch,m1,m2
run4-tbt-3s,regionale,1,3,none,true,27,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.81606011,0,10,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,27,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.82658129,0,2,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,27,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,1.60943791,0.98947882,10,2,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,28,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.75967009,0,11,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,28,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.81471894,0,1,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,28,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,2.39789527,0.94495115,11,1,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,29,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.79073034,0,11,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,29,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.827128,0,1,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,29,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,2.39789527,0.96360234,11,1,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,30,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.7527841,0,12,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,30,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.78544417,0,0,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,30,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,0.96733993,12,0,12,not computable: a zero count in the epoch,m1,m2
run4-tbt-3s,regionale,1,3,none,true,31,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-1.25276297,-1.92483435,2,7,12,,m3,m1
