host,height,besthash,hash_a_321,peers,balance
admin,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,999295.8497
m1,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,108.2425
m2,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,49.3645
m3,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,60.9837
c1,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,77.9156
c2,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,85.2094
c3,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,88.8566
c4,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,91.0444
c5,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,92.8402
ca,327,009d8bb6af03e00c9d0ac5897baa264a1e0bf57b0d2107527de391db7abf848c,0082a4630b2c485a677d5616822b3ff7c2dda74acf7ca1aca96c287eb8ef6cf3,9,49.3566
