source,target,latency_ms,jitter,packet_loss
0,0,0.2,0 us,0.0
0,1,4.127,0 us,0.0003036
0,2,45.75,0 us,0.0014929
0,3,2.529,0 us,0.0004
0,4,3.713,0 us,0.0004
1,1,0.2,0 us,0.0
1,2,43.919000000000004,0 us,0.0014405
1,5,3.544,0 us,0.0004
1,6,7.231,0 us,0.0004
1,7,4.345,0 us,0.0004
1,8,5.464,0 us,0.0004
2,2,0.2,0 us,0.0
2,9,4.853,0 us,0.0004
3,3,0.2,0 us,0.0
4,4,0.2,0 us,0.0
5,5,0.2,0 us,0.0
6,6,0.2,0 us,0.0
7,7,0.2,0 us,0.0
8,8,0.2,0 us,0.0
9,9,0.2,0 us,0.0
