height,epoch,miner,balance,sent
109,10,m2,51.524,29.7144
109,10,m3,49.6786,9.5357
109,10,m1,49.6786,45.2947
122,11,m2,21.6884,11.8130
122,11,m1,105.1363,97.9795
122,11,m3,40.0217,7.6043
132,12,m3,33.0048,6.2010
132,12,m2,109.7544,64.6526
132,12,m1,107.0356,99.7838
145,13,m3,27.1336,5.0267
145,13,m2,45.2044,25.9226
145,13,m1,107.343,100.0759
158,14,m3,21.9861,3.9972
158,14,m2,119.975,70.7850
158,14,m1,107.7357,100.4489
170,15,m2,49.0954,28.2572
170,15,m3,117.8679,23.1736
170,15,m1,108.4318,101.1102
180,16,m3,94.5437,18.5087
180,16,m2,22.2036,12.1222
180,16,m1,106.9348,99.6881
194,17,m3,75.99,14.7980
194,17,m2,109.665,64.5990
194,17,m1,108.8055,101.4652
206,18,m3,61.071,11.8142
206,18,m2,45.0208,25.8125
206,18,m1,108.5033,101.1781
218,19,m3,49.1062,9.4212
218,19,m2,119.7121,70.6273
218,19,m1,107.9002,100.6052
230,20,m3,39.5638,7.5128
230,20,m2,48.9902,28.1941
230,20,m1,108.3394,101.0224
242,21,m3,32.0978,6.0196
242,21,m2,20.6455,11.1873
242,21,m1,108.3054,100.9901
252,22,m3,25.9574,4.7915
252,22,m2,110.4988,65.0993
253,22,m1,107.2689,100.0055
265,23,m3,21.0149,3.8030
265,23,m2,45.5849,26.1509
265,23,m1,108.1134,100.8077
277,24,m3,117.1669,23.0334
277,24,m2,119.3888,70.4333
277,24,m1,108.2585,100.9456
290,25,m3,94.1243,18.4249
290,25,m2,48.8047,28.0828
290,25,m1,108.4129,101.0923
302,26,m3,76.1704,14.8341
302,26,m2,20.6009,11.1605
302,26,m1,107.7988,100.5089
312,27,m3,61.2025,11.8405
312,27,m2,109.262,64.3572
312,27,m1,108.4761,101.1523
324,28,m1,108.1814,100.8723
326,28,m3,49.297,9.4594
326,28,m2,44.9964,25.7978
337,29,m3,39.6868,7.5374
337,29,m2,119.9064,70.7438
337,29,m1,107.9619,100.6638
348,30,m3,32.1044,6.0209
348,30,m2,49.7086,28.6252
348,30,m1,107.6267,100.3454
361,31,m3,25.9623,4.7925
361,31,m2,21.378,11.6268
361,31,m1,108.0491,100.7466
374,32,m3,21.019,3.8038
374,32,m2,109.4406,64.4644
374,32,m1,108.8627,101.5196
385,33,m3,117.2398,23.0480
385,33,m2,45.765,26.2590
385,33,m1,107.5153,100.2395
396,34,m3,94.1466,18.4293
396,34,m2,119.3846,70.4308
396,34,m1,108.3172,101.0013
410,35,m3,75.7533,14.7507
410,35,m2,48.8028,28.0817
410,35,m1,108.4283,101.1069
422,36,m3,60.7338,11.7468
422,36,m2,21.1457,11.4874
422,36,m1,108.0514,100.7488
433,37,m3,49.0044,9.4009
433,37,m2,109.3893,64.4336
433,37,m1,108.4292,101.1077
444,38,m3,39.6703,7.5341
444,38,m2,44.8049,25.6829
444,38,m1,108.2347,100.9230
456,39,m3,32.0148,6.0030
456,39,m2,119.8718,70.7231
456,39,m1,107.6145,100.3338
470,40,m3,25.9728,4.7946
470,40,m2,49.4493,28.4696
471,40,m1,108.1849,100.8757
482,41,m3,21.7182,3.9436
482,41,m2,20.8289,11.2973
482,41,m1,107.6936,100.4089
493,42,m3,117.6236,23.1247
493,42,m2,109.9522,64.7713
493,42,m1,107.8795,100.5855
504,43,m1,107.833,100.5413
506,43,m3,94.4601,18.4920
506,43,m2,45.6791,26.2075
517,44,m3,76.5725,14.9145
517,44,m2,119.3206,70.3924
517,44,m1,107.8815,100.5874
528,45,m3,61.3888,11.8778
528,45,m2,49.1852,28.3111
528,45,m1,108.2479,100.9355
540,46,m2,21.4487,11.6692
542,46,m3,49.5738,9.5148
542,46,m1,107.4496,100.1771
553,47,m3,39.908,7.5816
553,47,m2,110.1117,64.8670
553,47,m1,108.1913,100.8817
564,48,m3,32.2814,6.0563
564,48,m2,45.0939,25.8563
564,48,m1,108.3924,101.0728
