experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,validator_i_host,validator_j_host,note
run4-tbt-3s,nazionale,1,3,none,true,20,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,-0.85831548,0,1,12,m3,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,21,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,,1.83964684,1,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,21,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,-2.39789527,1.14824786,1,11,12,m1,m2,
run4-tbt-3s,nazionale,1,3,none,true,21,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,-0.69139898,0,11,12,m3,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,22,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,,1.96589793,10,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,22,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,1.60943791,1.05490124,10,2,12,m1,m2,
run4-tbt-3s,nazionale,1,3,none,true,22,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,-0.91099669,0,2,12,m3,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,23,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,,2.07536689,11,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,23,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,2.39789527,0.99551978,11,1,12,m1,m2,
run4-tbt-3s,nazionale,1,3,none,true,23,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,-1.07984711,0,1,12,m3,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,24,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,2.19722458,1.87356287,9,1,12,m1,m3,
run4-tbt-3s,nazionale,1,3,none,true,24,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,1.5040774,1.08325509,9,2,12,m1,m2,
run4-tbt-3s,nazionale,1,3,none,true,24,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,-0.69314718,-0.79030778,1,2,12,m3,m2,
run4-tbt-3s,nazionale,1,3,none,true,25,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,,1.83410991,12,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,25,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,1.24274154,12,0,12,m1,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,25,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,-0.59136837,0,0,12,m3,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,26,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,0.84729786,1.98177625,7,3,12,m1,m3,
run4-tbt-3s,nazionale,1,3,none,true,26,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,1.25276297,1.01104207,7,2,12,m1,m2,
run4-tbt-3s,nazionale,1,3,none,true,26,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,0.40546511,-0.97073418,3,2,12,m3,m2,
run4-tbt-3s,nazionale,1,3,none,true,27,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,2.30258509,1.87496958,10,1,12,m1,m3,
run4-tbt-3s,nazionale,1,3,none,true,27,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,2.30258509,0.8508617,10,1,12,m1,m2,
run4-tbt-3s,nazionale,1,3,none,true,27,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,0.0,-1.02410788,1,1,12,m3,m2,
run4-tbt-3s,nazionale,1,3,none,true,28,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,,1.72035993,12,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,28,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,0.85411249,12,0,12,m1,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,28,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,-0.86624744,0,0,12,m3,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,29,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,2.07944154,1.88247202,8,1,12,m1,m3,
run4-tbt-3s,nazionale,1,3,none,true,29,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,0.98082925,1.11821006,8,3,12,m1,m2,
run4-tbt-3s,nazionale,1,3,none,true,29,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,-1.09861229,-0.76426196,1,3,12,m3,m2,
run4-tbt-3s,nazionale,1,3,none,true,30,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,2.39789527,1.74966524,11,1,12,m1,m3,
run4-tbt-3s,nazionale,1,3,none,true,30,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,1.16637649,11,0,12,m1,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,30,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,,-0.58328875,1,0,12,m3,m2,not computable: a zero count in the epoch
run4-tbt-3s,nazionale,1,3,none,true,31,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,,2.03134339,11,0,12,m1,m3,not computable: a zero count in the epoch
