experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,epoch_measured_start_height,n_blocks_epoch,n_rounds_with_scores,validator_host,validator_address,O_i,E_i_expected,p_theoretical_blockweighted,p_theoretical_start,p_theoretical_end,share_changed_within_epoch,p_observed,w_raw_start,w_raw_end,w_eff_start,w_eff_end,n_delays_logged,delay_mean_s,delay_min_s,delay_max_s,delay_pos_in_band_mean,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,n_rounds_won_not_argmin,n_forks_epoch,n_competing_blocks_epoch,n_rejects_epoch
run3-tbt-5s,1,intercontinentale,5,none,true,12,9,1,96,107,99,9,9,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,0,2.224499,0.247167,0.268938,0.229749,1,0.0,25615,20535,25615.0,20535.0,9,7.3369,6.49,7.55,0.9674,1,1,0,0,0,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,9,1,96,107,99,9,9,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,0,0.7774,0.086378,0.07907,0.092224,1,0.0,7531,8243,7531.0,8243.0,9,7.516,7.462,7.55,1.0032,0,0,0,0,0,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,9,1,96,107,99,9,9,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,9,5.998101,0.666456,0.651992,0.678026,1,1.0,62099,60602,62099.0,60602.0,9,4.5901,2.718,6.492,0.418,8,0,1,0,0,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,10,1,108,119,108,12,12,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,0,2.824583,0.235382,0.229749,0.243267,1,0.0,20535,23161,20535.0,23161.0,12,6.9383,5.458,7.538,0.8877,0,0,0,1,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,10,1,108,119,108,12,12,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,2,1.168005,0.097334,0.092224,0.104487,1,0.166667,8243,9948,8243.0,9948.0,12,6.4019,2.598,7.55,0.7804,3,1,0,1,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,10,1,108,119,108,12,12,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,10,8.007413,0.667284,0.678026,0.652246,1,0.833333,60602,62099,60602.0,62099.0,12,5.4701,2.48,7.482,0.594,9,0,1,1,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,11,1,120,131,120,12,12,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,4,2.859707,0.238309,0.243267,0.231367,1,0.333333,23161,23161,23161.0,23161.0,12,6.3102,4.02,7.367,0.762,4,1,1,0,0,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,11,1,120,131,120,12,12,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,1,1.143127,0.095261,0.104487,0.082344,1,0.083333,9948,8243,9948.0,8243.0,12,6.9843,3.449,7.417,0.8969,1,0,0,0,0,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,11,1,120,131,120,12,12,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,7,7.997166,0.666431,0.652246,0.686289,1,0.583333,62099,68701,62099.0,68701.0,12,5.2284,2.77,7.345,0.5457,7,1,1,0,0,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,12,1,132,143,132,12,12,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,2,2.727746,0.227312,0.231367,0.221635,1,0.166667,23161,20515,23161.0,20515.0,12,6.5572,4.678,7.399,0.8115,2,1,1,3,3,0
