height,epoch,in_setup,host,address,score_raw,delay_logged_s,start_in_s,log_timestamp,duplicate_index,source_file,source_line
75,7,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.9637107e-06,7.508,7.508,2000-01-01 00:12:31,0,run/data/m2/debug.log,2032
75,7,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,4.69190323e-05,14.844,14.844,2000-01-01 00:12:32,0,run/data/m3/debug.log,821
76,7,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,2.81270622e-06,8.426,8.426,2000-01-01 00:12:40,0,run/data/m1/debug.log,1946
76,7,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,3.42878663e-05,14.805,14.805,2000-01-01 00:12:39,0,run/data/m2/debug.log,2431
76,7,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,4.10113921e-06,9.605,9.605,2000-01-01 00:12:40,0,run/data/m3/debug.log,836
77,7,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,8.00763596e-06,12.014,12.014,2000-01-01 00:12:49,0,run/data/m1/debug.log,2166
77,7,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,5.43447232e-05,14.848,14.848,2000-01-01 00:12:50,0,run/data/m2/debug.log,2446
77,7,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,2.90154858e-05,14.746,14.746,2000-01-01 00:12:50,0,run/data/m3/debug.log,851
78,7,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,2.72736976e-06,8.306,8.306,2000-01-01 00:13:01,0,run/data/m1/debug.log,2519
78,7,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,2.1954418e-05,14.501,14.501,2000-01-01 00:13:02,0,run/data/m2/debug.log,2461
78,7,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,3.28444708e-06,8.852,8.852,2000-01-01 00:13:02,0,run/data/m3/debug.log,866
79,7,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,2.84787723e-06,8.561,8.561,2000-01-01 00:13:10,0,run/data/m1/debug.log,2846
79,7,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,3.20176355e-05,14.750,14.750,2000-01-01 00:13:11,0,run/data/m2/debug.log,2481
79,7,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,5.1803766e-05,14.798,14.798,2000-01-01 00:13:11,0,run/data/m3/debug.log,886
80,7,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1.95916807e-06,7.622,7.622,2000-01-01 00:13:19,0,run/data/m1/debug.log,3196
80,7,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,4.51234458e-05,14.844,14.844,2000-01-01 00:13:20,0,run/data/m2/debug.log,2496
80,7,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,0.000156785797,14.850,14.850,2000-01-01 00:13:19,0,run/data/m3/debug.log,901
81,7,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1.01128691e-05,13.061,13.061,2000-01-01 00:13:27,0,run/data/m1/debug.log,3329
81,7,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,7.28524047e-06,11.942,11.942,2000-01-01 00:13:28,0,run/data/m2/debug.log,2511
81,7,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,7.76589776e-05,14.933,14.933,2000-01-01 00:13:27,0,run/data/m3/debug.log,916
82,7,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1.35615416e-05,13.859,13.859,2000-01-01 00:13:40,0,run/data/m1/debug.log,3455
82,7,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,7.66963697e-06,12.110,12.110,2000-01-01 00:13:40,0,run/data/m2/debug.log,2625
