txid,hosts_seen
2be97dfc89db35a9e7de851691014ade7a9dd593aa5435fd8fec3a6742029b39,c3
b6223e513a3bffbb3e9109b4d4ab89b21bb70cdefa2144cb4f052c70957f3b22,c1
