host,height,besthash,hash_at_reference,peers,balance_gas
admin,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,999436.4469
m1,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,7.3695
m2,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,9.0827
m3,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,60.7073
c1,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,77.971
c2,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,85.266
c3,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,88.91
c4,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,91.0446
c5,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,92.8388
ca,325,006cf36804c6a402d46bf1a21e9e1f5b7f01b8701f5f060b012347bb8e49aef1,004fe5103513d0b10f2ece6b46642c315ac991ed491d34e41e3e4c5a351b06f9,9,49.3572
