send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
34,3,m1,49.7844,45.3952,35
34,3,m3,51.6272,9.9254,35
34,3,m2,49.784,28.6704,35
37,4,m2,21.0684,11.441,38
37,4,m3,42.6582,8.1316,38
37,4,m1,104.344,97.2268,38
48,5,m3,34.5432,6.5086,49
48,5,m2,109.6994,64.6196,49
48,5,m1,108.1722,100.8636,49
60,6,m2,45.7362,26.2417,61
60,6,m3,27.9138,5.1828,61
60,6,m1,107.7036,100.4184,61
73,7,m2,119.3729,70.4237,74
73,7,m3,22.6104,4.1221,74
73,7,m1,109.8464,102.4541,74
84,8,m1,109.4741,102.1004,85
84,8,m2,49.5052,28.5031,85
84,8,m3,118.3379,23.2676,85
96,9,m3,95.4517,18.6903,97
96,9,m2,21.1591,11.4955,97
96,9,m1,109.6113,102.2307,97
108,10,m3,76.8282,14.9656,109
108,10,m2,109.3648,64.4189,109
108,10,m1,110.1048,102.6996,109
120,11,m3,61.7124,11.9425,121
120,11,m2,45.2991,25.9795,121
120,11,m1,110.1602,102.7522,121
132,12,m3,49.8783,9.5757,133
132,12,m2,119.4224,70.4534,133
132,12,m1,109.7518,102.3642,133
144,13,m3,40.182,7.6364,145
144,13,m2,48.8474,28.1084,145
144,13,m1,110.4188,102.9979,145
156,14,m3,32.5006,6.1001,157
156,14,m2,20.9804,11.3882,157
156,14,m1,110.0729,102.6693,157
168,15,m3,26.2797,4.8559,169
168,15,m2,109.4028,64.4417,169
168,15,m1,110.1584,102.7505,169
180,16,m3,21.274,3.8548,181
180,16,m2,45.8379,26.3027,181
180,16,m1,109.1369,101.7801,181
192,17,m2,120.0706,70.8424,193
192,17,m1,109.545,102.1677,193
193,17,m3,117.2984,23.0597,194
204,18,m3,94.3621,18.4724,205
204,18,m2,49.5262,28.5157,205
204,18,m1,109.6941,102.3094,205
216,19,m3,75.7691,14.7538,217
216,19,m2,21.1957,11.5174,217
216,19,m1,110.0027,102.6026,217
228,20,m3,60.9715,11.7943,229
228,20,m2,111.7409,65.8445,229
228,20,m1,108.0533,100.7506,229
240,21,m3,49.0564,9.4113,241
240,21,m2,47.4204,27.2522,241
240,21,m1,108.5827,101.2536,241
252,22,m3,39.5245,7.5049,253
252,22,m2,21.0046,11.4028,253
252,22,m1,109.0725,101.7189,253
264,23,m3,31.9746,5.9949,265
264,23,m2,110.0116,64.807,265
264,23,m1,109.4366,102.0648,265
276,24,m3,25.8587,4.7717,277
276,24,m2,45.7404,26.2442,277
276,24,m1,109.8102,102.4197,277
288,25,m1,109.3511,101.9835,289
288,25,m3,20.9662,3.7932,289
288,25,m2,20.6768,11.2061,289
300,26,m3,117.1278,23.0256,301
300,26,m2,110.9749,65.3849,301
300,26,m1,108.5714,101.2428,301
312,27,m3,93.9518,18.3904,313
312,27,m2,46.8372,26.9023,313
312,27,m1,108.86,101.517,313
324,28,m3,75.4406,14.6881,325
324,28,m2,20.8527,11.3116,325
324,28,m1,109.3428,101.9757,325
