experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,height,epoch,epoch_buried,candidate_host,candidate_address,weight_raw_inforce,weight_record_epoch_tag,weight_record_confirm_height,psi,weight_effective,W_tot_effective,p_theoretical,score_raw,E_i,u_i,score_norm,phi_s,phi_bound_s,delay_logged_s,delay_recomputed_s,delay_mismatch_s,delay_recompute_ok,W_tot_implied_by_logged_delay,is_winner,rank_by_delay,rank_by_score,is_theoretical_argmin_delay,is_theoretical_argmin_score,actual_proposer_host,actual_proposer_address,block_hash,block_time,parent_time,verify_delay_floor_s,time_bar_ok,fork_detected,n_competing_blocks,balance_gas_sample,balance_sample_height,streak_position
run2-tbt-10s,1,intercontinentale,10,none,true,12,68,6,1,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,38404,5,66,1.0,38404.0,157352.0,0.244064,3.25855941e-05,1.25141716,0.28609906,0.99406809,0.083,5.000,14.957,14.9573,0.0003,1,,0,3,3,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00794562a0eba8c89b31ba14b9e3832afddf8299457175d216013bdb1517e06e,946685483,946685470,12,1,1,1,119.4043,67,
run2-tbt-10s,1,intercontinentale,10,none,true,12,68,6,1,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,13358,4,54,1.0,13358.0,157352.0,0.084892,6.60446888e-06,0.0882225,0.91555715,0.64627178,0.083,5.000,11.479,11.4793,0.0003,1,,0,1,1,1,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00794562a0eba8c89b31ba14b9e3832afddf8299457175d216013bdb1517e06e,946685483,946685470,12,1,1,1,23.2815,67,
run2-tbt-10s,1,intercontinentale,10,none,true,12,69,6,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,105590,5,66,1.0,105590.0,157352.0,0.671043,6.60169358e-06,0.69707283,0.49804103,0.64611727,-0.5,5.000,11.361,11.3612,0.0002,1,,1,1,1,1,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,006e1de3155de4b7968b4ac58ce8709a0ef5aaed51fbb71d75035f3808311850,946685495,946685483,11,1,0,0,107.5939,67,5
run2-tbt-10s,1,intercontinentale,10,none,true,12,69,6,1,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,38404,5,66,1.0,38404.0,157352.0,0.244064,1.52214614e-05,0.584565,0.55734825,0.90883894,-0.5,5.000,13.988,13.9884,0.0004,1,,0,2,2,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,006e1de3155de4b7968b4ac58ce8709a0ef5aaed51fbb71d75035f3808311850,946685495,946685483,11,1,0,0,119.4043,67,
run2-tbt-10s,1,intercontinentale,10,none,true,12,69,6,1,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,13358,4,54,1.0,13358.0,157352.0,0.084892,4.16408275e-05,0.55623817,0.5733619,0.99857312,-0.5,5.000,14.886,14.8857,-0.0003,1,,0,3,3,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,006e1de3155de4b7968b4ac58ce8709a0ef5aaed51fbb71d75035f3808311850,946685495,946685483,11,1,0,0,23.2815,67,
run2-tbt-10s,1,intercontinentale,10,none,true,12,70,6,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,105590,5,66,1.0,105590.0,157352.0,0.671043,5.43254033e-06,0.57362193,0.56348085,0.57464071,-0.333,5.000,10.68,10.6798,-0.0002,1,,1,1,1,1,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00a67b669a583026b65a2f5a4ba54cbf955f771a2a3b12c6af12880e01d580de,946685506,946685495,10,1,0,0,108.4303,70,6
run2-tbt-10s,1,intercontinentale,10,none,true,12,70,6,1,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,38404,5,66,1.0,38404.0,157352.0,0.244064,4.59977715e-05,1.76649842,0.17093047,0.99928114,-0.333,5.000,14.926,14.9262,0.0002,1,,0,3,3,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00a67b669a583026b65a2f5a4ba54cbf955f771a2a3b12c6af12880e01d580de,946685506,946685495,10,1,0,0,119.4043,70,
run2-tbt-10s,1,intercontinentale,10,none,true,12,70,6,1,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,13358,4,54,1.0,13358.0,157352.0,0.084892,1.2462494e-05,0.16647399,0.84664483,0.85928214,-0.333,5.000,13.526,13.5262,0.0002,1,,0,2,2,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00a67b669a583026b65a2f5a4ba54cbf955f771a2a3b12c6af12880e01d580de,946685506,946685495,10,1,0,0,23.2815,70,
run2-tbt-10s,1,intercontinentale,10,none,true,12,71,6,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,105590,5,66,1.0,105590.0,157352.0,0.671043,3.27107021e-06,0.3453923,0.70794257,0.40232577,-0.333,5.000,8.957,8.9567,-0.0003,1,,1,1,1,1,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00afe6e66dcf921fe241e39ff4cda69dccc02013a3709e897ea363218a28d634,946685516,946685506,8,1,0,0,108.4303,70,7
run2-tbt-10s,1,intercontinentale,10,none,true,12,71,6,1,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,38404,5,66,1.0,38404.0,157352.0,0.244064,2.4006877e-05,0.9219601,0.39773867,0.97712087,-0.333,5.000,14.705,14.7046,-0.0004,1,,0,2,2,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00afe6e66dcf921fe241e39ff4cda69dccc02013a3709e897ea363218a28d634,946685516,946685506,8,1,0,0,119.4043,70,
