experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,epoch_buried,validator_host,validator_address,w_raw_start,w_raw_end,w_eff_start,w_eff_end,psi,p_theoretical_blockweighted,n_blocks,O_i,E_i,p_hat,wilson95_low,wilson95_high,p_theoretical_inside_wilson95,abs_error_p,share_changed_within_epoch
run6-tbt-10s,nazionale,1,10,none,true,2,1,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,193971,193971,193971.0,193971.0,1.0,0.259902,47,18,12.215394,0.38297872,0.25790681,0.52573433,1,0.12307672,0
run6-tbt-10s,nazionale,1,10,none,true,2,1,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,50861,50861,50861.0,50861.0,1.0,0.068149,47,4,3.203003,0.08510638,0.03359412,0.19931538,1,0.01695738,0
run6-tbt-10s,nazionale,1,10,none,true,2,1,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,501493,501493,501493.0,501493.0,1.0,0.67195,47,25,31.58165,0.53191489,0.39232383,0.66668313,0,0.14003511,0
run6-tbt-10s,nazionale,1,10,none,true,3,1,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,193971,308720,193971.0,308720.0,1.0,0.26123376,100,28,26.123376,0.28,0.20139685,0.37488029,1,0.01876624,1
run6-tbt-10s,nazionale,1,10,none,true,3,1,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,50861,76432,50861.0,76432.0,1.0,0.06494143,100,11,6.494143,0.11,0.06254196,0.18631297,1,0.04505857,1
run6-tbt-10s,nazionale,1,10,none,true,3,1,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,501493,796172,501493.0,796172.0,1.0,0.67382488,100,61,67.382488,0.61,0.51203017,0.69983126,1,0.06382488,1
run6-tbt-10s,nazionale,1,10,none,true,4,1,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,308720,259890,308720.0,259890.0,1.0,0.22992046,100,24,22.992046,0.24,0.16691326,0.33232336,1,0.01007954,1
run6-tbt-10s,nazionale,1,10,none,true,4,1,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,76432,76432,76432.0,76432.0,1.0,0.06676739,100,5,6.676739,0.05,0.02154368,0.11175047,1,0.01676739,1
run6-tbt-10s,nazionale,1,10,none,true,4,1,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,796172,805768,796172.0,805768.0,1.0,0.70331215,100,71,70.331215,0.71,0.61461109,0.78985164,1,0.00668785,1
run6-tbt-10s,nazionale,1,10,none,true,5,1,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,259890,316428,259890.0,316428.0,1.0,0.25636833,100,17,25.636833,0.17,0.10893566,0.25548005,0,0.08636833,1
run6-tbt-10s,nazionale,1,10,none,true,5,1,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,76432,77424,76432.0,77424.0,1.0,0.06351548,100,0,6.351548,0.0,0.0,0.0369935,0,0.06351548,1
run6-tbt-10s,nazionale,1,10,none,true,5,1,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,805768,830065,805768.0,830065.0,1.0,0.68011619,100,83,68.011619,0.83,0.74451995,0.89106434,0,0.14988381,1
run6-tbt-10s,nazionale,1,10,none,true,6,0,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,316428,311366,316428.0,311366.0,1.0,0.2595806,99,27,25.698479,0.27272727,0.19472403,0.36770925,1,0.01314668,1
run6-tbt-10s,nazionale,1,10,none,true,6,0,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,77424,76432,77424.0,76432.0,1.0,0.06370599,99,9,6.306893,0.09090909,0.04856576,0.16381414,1,0.0272031,1
run6-tbt-10s,nazionale,1,10,none,true,6,0,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,830065,811330,830065.0,811330.0,1.0,0.67671341,99,63,66.994628,0.63636364,0.53815899,0.72438104,1,0.04034978,1
run6-tbt-10s,nazionale,1,10,none,true,all,0,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,,,,,1.0,0.25261464,446,114,112.666128,0.25560538,0.21732914,0.29805567,1,0.00299074,
run6-tbt-10s,nazionale,1,10,none,true,all,0,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,,,,,1.0,0.0650949,446,29,29.032326,0.06502242,0.04565108,0.09182282,1,7.248e-05,
run6-tbt-10s,nazionale,1,10,none,true,all,0,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,,,,,1.0,0.68229058,446,303,304.3016,0.6793722,0.6346839,0.72099697,1,0.00291839,
