host,address,esg
m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,85.56
m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,26.46
m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,24.17
c1,17GLGDAofhTLycusCU8fqaAK2xoyvZdp1DfuXs,17.50
c2,1ZHFeR8BCHYKHGxW8BC8iN9Dd3ihFZEZ3GKjfd,77.16
c3,1T3jCVULPS2vNVQF9wJrBoXKQ6G8eHxF37a6Pr,99.26
c4,1Lpw4FLdnt8a8YCbVjgVHcqDVcGjbKEfngWKoX,92.76
c5,1ERY6SvADvp4pscwK8av3gMUXwNUnYNGJhEccH,70.53
