host,height,besthash,hash_a_591,peers,balance
admin,597,0025be53dda5732fcd2e2999fdeb717e291c957c43ab096fb3a5003babf39f97,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,999373.6754
m1,597,0025be53dda5732fcd2e2999fdeb717e291c957c43ab096fb3a5003babf39f97,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,124.7372
m2,597,0025be53dda5732fcd2e2999fdeb717e291c957c43ab096fb3a5003babf39f97,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,51.5645
m3,597,0025be53dda5732fcd2e2999fdeb717e291c957c43ab096fb3a5003babf39f97,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,22.6981
c1,597,0025be53dda5732fcd2e2999fdeb717e291c957c43ab096fb3a5003babf39f97,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,57.7588
c2,597,0025be53dda5732fcd2e2999fdeb717e291c957c43ab096fb3a5003babf39f97,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,71.7896
c3,598,0022f904329fbb40a393a154bd77c9a37091040c3f07c6b5f0edc82126d2b679,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,78.747
c4,598,0022f904329fbb40a393a154bd77c9a37091040c3f07c6b5f0edc82126d2b679,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,82.9556
c5,598,0022f904329fbb40a393a154bd77c9a37091040c3f07c6b5f0edc82126d2b679,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,86.3246
ca,598,0022f904329fbb40a393a154bd77c9a37091040c3f07c6b5f0edc82126d2b679,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,9,49.3564
