experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_host,validator_address,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,MissedTurnRate,MissedTurnRate_note,n_rounds_won_not_argmin,blocks_won
run5-tbt-2s,intercontinentale,1,2,none,true,27,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,27,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,28,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,7,0,0.0,,5,12
run5-tbt-2s,intercontinentale,1,2,none,true,28,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,2,2,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,28,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,3,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,29,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,8,1,0.125,,1,8
run5-tbt-2s,intercontinentale,1,2,none,true,29,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,0,0.0,,1,2
run5-tbt-2s,intercontinentale,1,2,none,true,29,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,1,0.33333333,,0,2
run5-tbt-2s,intercontinentale,1,2,none,true,30,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,7,2,0.28571429,,1,6
run5-tbt-2s,intercontinentale,1,2,none,true,30,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,2,0,0.0,,1,3
run5-tbt-2s,intercontinentale,1,2,none,true,30,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,2,0.66666667,,2,3
run5-tbt-2s,intercontinentale,1,2,none,true,31,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,10,0,0.0,,2,12
run5-tbt-2s,intercontinentale,1,2,none,true,31,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,31,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,2,1.0,,0,0
