height,epoch,miner,balance,sent
23,2,m1,49.7842,45.3950
23,2,m2,51.3128,29.5877
23,2,m3,49.7838,9.5568
24,3,m3,40.1818,7.6364
24,3,m1,104.344,97.2268
24,3,m2,21.6801,11.8081
36,4,m3,34.5482,6.5096
36,4,m2,109.7212,64.6327
36,4,m1,109.2244,101.8632
48,5,m3,28.8096,5.3619
48,5,m2,47.3637,27.2182
48,5,m1,107.0916,99.8370
60,6,m3,25.8871,4.7774
60,6,m1,107.7254,100.4391
60,6,m2,20.5147,11.1088
72,7,m2,110.0205,64.8123
72,7,m3,21.3433,3.8687
72,7,m1,110.1525,102.7449
84,8,m2,46.219,26.5314
84,8,m3,116.999,22.9998
84,8,m1,110.8114,103.3708
96,9,m2,120.236,70.9416
96,9,m3,95.999,18.7998
96,9,m1,108.8346,101.4929
108,10,m1,109.7869,102.3976
108,10,m2,49.6206,28.5724
108,10,m3,78.3332,15.2666
120,11,m2,21.6262,11.7757
120,11,m3,63.7858,12.3572
120,11,m1,110.2859,102.8716
132,12,m2,111.5061,65.7037
132,12,m3,51.81,9.9620
132,12,m1,109.0001,101.6501
144,13,m2,45.9616,26.3770
144,13,m3,42.4262,8.0852
144,13,m1,110.0802,102.6762
156,14,m2,122.8802,72.5281
156,14,m3,34.2198,6.4440
156,14,m1,108.0232,100.7220
168,15,m2,50.8619,29.3171
168,15,m3,27.6244,5.1249
168,15,m1,110.58,103.1510
