height,host,balance
159,c1,99.804
159,c2,99.804
159,c3,99.8044
159,c4,99.804
159,c5,99.8046
159,m1,4.3508
159,m2,20.996
159,m3,40.0369
159,ca,49.3568
175,c1,99.6072
175,c2,99.6632
175,c3,99.7192
175,c4,99.7186
175,c5,99.7194
175,m1,7.0929
175,m2,9.4772
175,m3,32.3083
175,ca,49.3568
189,c1,99.384
189,c2,99.4962
189,c3,99.6078
189,c4,99.6072
189,c5,99.6636
189,m1,7.784
189,m2,44.8697
189,m3,26.2147
189,ca,49.3568
202,c1,99.1602
202,c2,99.3846
202,c3,99.4962
202,c4,99.5514
202,c5,99.6078
202,m1,7.3662
202,m2,19.0825
202,m3,21.6528
202,ca,49.3568
214,c1,98.9364
214,c2,99.2168
214,c3,99.3846
214,c4,99.44
214,c5,99.552
214,m1,7.5956
214,m2,49.0232
214,m3,17.5714
214,ca,49.3568
225,c1,98.7124
225,c2,99.1052
225,c3,99.2728
225,c4,99.3844
225,c5,99.4406
225,m1,8.0437
225,m2,20.6585
225,m3,94.3067
225,ca,49.3568
236,c1,98.5444
236,c2,98.9378
236,c3,99.1608
236,c4,99.2726
236,c5,99.385
236,m1,8.1436
236,m2,9.2834
236,m3,75.6948
236,ca,49.3568
249,c1,98.3204
249,c2,98.826
249,c3,99.049
249,c4,99.2168
249,c5,99.3292
249,m1,7.8927
249,m2,44.7626
249,m3,60.8348
249,ca,49.3568
260,c1,98.0966
260,c2,98.658
260,c3,98.937
260,c4,99.1048
260,c5,99.2732
260,m1,7.3451
260,m2,19.4546
260,m3,49.0226
260,ca,49.3568
271,c1,97.8728
271,c2,98.546
271,c3,98.825
271,c4,99.0488
271,c5,99.2172
271,m1,7.7476
271,m2,49.0598
271,m3,39.4673
271,ca,49.3568
282,c1,97.6492
282,c2,98.378
282,c3,98.713
282,c4,98.937
282,c5,99.1054
282,m1,7.5308
282,m2,20.8639
282,m3,31.8528
282,ca,49.3568
294,c1,97.4812
294,c2,98.2662
294,c3,98.657
294,c4,98.8812
294,c5,99.0494
294,m1,7.1187
294,m2,10.0469
294,m3,26.0172
