host,address,esg
m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,85.56
m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,26.46
m3,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,24.17
c1,1F7CcdA7br3pXc2HaB2YVgbB9XpcVbNzQhEWKx,17.50
c2,1YTNMyxofokiBQ3rq8h7jTXxWt2FAPxuRdZTtp,77.16
c3,1RG2YWrbXGu1xVxqFQMN5ZG6B2FmRnYADiXkCh,99.26
c4,1Qvk2bYgt1UFxC5BNrR54Jb9a9ywekBworktZ1,92.76
c5,1R7uw5tCbpBLCzbmLC8spDHyWDESce4aZ5Crj5,70.53
