experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,epoch_measured_start_height,n_blocks_epoch,n_rounds_with_scores,validator_host,validator_address,O_i,E_i_expected,p_theoretical_blockweighted,p_theoretical_start,p_theoretical_end,share_changed_within_epoch,p_observed,w_raw_start,w_raw_end,w_eff_start,w_eff_end,n_delays_logged,delay_mean_s,delay_min_s,delay_max_s,delay_pos_in_band_mean,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,n_rounds_won_not_argmin,n_forks_epoch,n_competing_blocks_epoch,n_rejects_epoch
run1-tbt-15s,1,intercontinentale,15,none,true,12,11,1,120,131,120,12,12,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,7,7.258648,0.604887,0.599537,0.612378,1,0.583333,94273,103024,94273.0,103024.0,12,15.6267,7.511,22.042,0.5418,7,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,11,1,120,131,120,12,12,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,1,1.053055,0.087755,0.090211,0.084316,1,0.083333,14185,14185,14185.0,14185.0,12,20.9804,11.179,22.367,0.8987,1,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,11,1,120,131,120,12,12,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,4,3.688296,0.307358,0.310252,0.303306,1,0.333333,48785,51027,48785.0,51027.0,12,18.5131,9.511,22.256,0.7342,4,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,12,1,132,143,132,12,12,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,9,7.329643,0.610804,0.612378,0.6086,1,0.75,103024,86978,103024.0,86978.0,12,14.8796,7.742,22.318,0.492,9,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,12,1,132,143,132,12,12,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,2,0.97852,0.081543,0.084316,0.077662,1,0.166667,14185,11099,14185.0,11099.0,12,21.0008,14.035,22.75,0.9001,2,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,12,1,132,143,132,12,12,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,1,3.691837,0.307653,0.303306,0.313739,1,0.083333,51027,44838,51027.0,44838.0,12,18.9894,13.0,22.602,0.766,1,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,13,1,144,155,144,12,12,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,4,7.358587,0.613216,0.6086,0.619678,1,0.333333,86978,87563,86978.0,87563.0,11,16.9065,8.795,22.565,0.6271,4,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,13,1,144,155,144,12,12,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,0,0.998289,0.083191,0.077662,0.090932,1,0.0,11099,12849,11099.0,12849.0,12,22.1395,20.287,22.589,0.976,1,1,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,13,1,144,155,144,12,12,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,8,3.643124,0.303594,0.313739,0.28939,1,0.666667,44838,40892,44838.0,40892.0,12,16.5972,7.94,22.486,0.6065,7,0,1,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,14,0,156,167,156,12,12,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,9,7.360851,0.613404,0.619678,0.604621,1,0.75,87563,91646,87563.0,91646.0,12,15.3973,7.865,21.93,0.5265,9,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,14,0,156,167,156,12,12,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,1,1.060368,0.088364,0.090932,0.084769,1,0.083333,12849,12849,12849.0,12849.0,12,22.1776,18.976,22.783,0.9785,1,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,14,0,156,167,156,12,12,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,2,3.578781,0.298232,0.28939,0.31061,1,0.166667,40892,47081,40892.0,47081.0,12,19.4275,9.113,22.627,0.7952,2,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,15,0,168,179,168,5,5,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,3,3.023104,0.604621,0.604621,0.604621,0,0.6,91646,91646,91646.0,91646.0,5,14.4404,10.241,18.781,0.4627,3,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,15,0,168,179,168,5,5,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,0,0.423847,0.084769,0.084769,0.084769,0,0.0,12849,12849,12849.0,12849.0,5,22.502,22.444,22.6,1.0001,0,0,0,0,0,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,15,0,168,179,168,5,5,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,2,1.553049,0.31061,0.31061,0.31061,0,0.4,47081,47081,47081.0,47081.0,5,17.4714,13.386,22.288,0.6648,2,0,0,0,0,0
