txid,hosts_seen
2e56ea714e3c2f0acea64d6004d479fd555e9699298f0fa15e8ad93e9554dc28,c2
3d669c7ff14abf41544eac5b917e17b3ed6698ca923070974ccd042aceb83df0,c1
