send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
67,6,m3,49.9948,9.599,68
67,6,m1,49.6786,45.2947,68
67,6,m2,49.9948,28.7969,68
73,7,m1,104.3387,97.2218,74
73,7,m3,40.3508,7.6702,74
73,7,m2,21.9285,11.9571,74
85,8,m3,32.9132,6.1826,86
85,8,m2,109.8504,64.7102,86
85,8,m1,108.0405,100.7385,86
96,9,m3,26.58,4.916,97
96,9,m2,45.1862,25.9117,97
96,9,m1,107.8972,100.6023,97
108,10,m3,21.5132,3.9026,109
108,10,m2,119.4627,70.4776,109
108,10,m1,108.6319,101.3003,109
120,11,m3,117.4598,23.092,121
120,11,m2,49.5327,28.5196,121
120,11,m1,108.4796,101.1556,121
132,12,m3,94.3226,18.4645,133
132,12,m2,20.9183,11.351,133
132,12,m1,108.7404,101.4034,133
145,13,m3,76.7955,14.9591,146
145,13,m2,109.7773,64.6664,146
145,13,m1,107.846,100.5537,146
156,14,m3,61.7712,11.9542,157
156,14,m2,45.6643,26.1986,157
156,14,m1,107.9121,100.6165,157
169,15,m3,49.7718,9.5544,170
169,15,m2,119.3709,70.4225,170
169,15,m1,109.3162,101.9504,170
181,16,m3,40.0668,7.6134,182
181,16,m2,48.7976,28.0786,182
182,16,m1,109.1102,101.7547,183
192,17,m3,32.3028,6.0606,193
192,17,m2,20.7652,11.2591,193
192,17,m1,108.6797,101.3457,193
204,18,m3,26.2034,4.8407,205
204,18,m2,110.2043,64.9226,205
204,18,m1,108.1084,100.803,205
216,19,m3,21.3177,3.8635,217
216,19,m2,45.6911,26.2147,217
216,19,m1,108.386,101.0667,217
228,20,m3,117.3034,23.0607,229
228,20,m2,119.4642,70.4785,229
228,20,m1,108.7949,101.4552,229
240,21,m3,94.8317,18.5663,241
241,21,m2,49.3395,28.4037,242
240,21,m1,108.0665,100.7632,241
252,22,m3,76.1442,14.8288,253
252,22,m2,22.1054,12.0632,253
252,22,m1,107.6997,100.4147,253
265,23,m3,61.4086,11.8817,266
265,23,m2,109.5636,64.5382,266
265,23,m1,109.1046,101.7494,266
277,24,m3,49.3761,9.4752,278
277,24,m2,45.2932,25.9759,278
277,24,m1,108.684,101.3498,278
288,25,m3,39.7501,7.55,289
288,25,m2,119.1959,70.3175,289
288,25,m1,109.0426,101.6905,289
300,26,m3,32.1549,6.031,301
300,26,m2,48.8956,28.1374,301
300,26,m1,108.7705,101.432,301
312,27,m3,25.9729,4.7946,313
312,27,m2,22.8294,12.4976,313
313,27,m1,106.9777,99.7288,314
324,28,m3,21.5689,3.9138,325
324,28,m2,110.9116,65.347,325
324,28,m1,107.7703,100.4818,325
337,29,m3,117.5043,23.1009,338
337,29,m2,45.4138,26.0483,338
337,29,m1,109.3627,101.9946,338
349,30,m3,94.9668,18.5934,350
349,30,m2,119.7327,70.6396,350
349,30,m1,108.0411,100.739,350
360,31,m3,76.4964,14.8993,361
360,31,m2,49.2227,28.3336,361
360,31,m1,108.3839,101.0647,361
373,32,m3,61.5589,11.9118,374
373,32,m2,21.8097,11.8858,374
373,32,m1,107.7722,100.4836,374
384,33,m3,49.4961,9.4992,385
384,33,m2,109.4753,64.4852,385
384,33,m1,109.1012,101.7461,385
396,34,m3,39.8755,7.5751,397
396,34,m2,45.1023,25.8614,397
396,34,m1,108.9231,101.5769,397
409,35,m3,32.2056,6.0411,410
409,35,m2,119.2021,70.3213,410
409,35,m1,108.972,101.6234,410
420,36,m3,26.4169,4.8834,421
420,36,m2,48.8128,28.0877,421
420,36,m1,108.4438,101.1216,421
432,37,m3,21.4389,3.8878,433
432,37,m2,21.8933,11.936,433
432,37,m1,107.808,100.5176,433
