send_height,host,address,seq,txid,error,confirm_height
67,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,1,ef23b6ce74181521c3120ac3b71cc3c24fbf778163a1b0a1860773061833e04e,,68
67,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,1,8da5cf8037b22edeaf235b7f0eea29367c88d9398afb45e8757194e778d5634e,,68
67,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,1,4354e188092919ec482826051ab36655850b49af551bd68433428bbb598b8052,,68
67,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,1,67f705cb83477644c4b13a7eb5ed7ea578e2becd308f7e4ae2d21e663bcb8c51,,68
67,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,1,e632eaaafa4504a64be93ac763bd507e0ba58bd4fb692fe8e2d2d8dbb5b4672e,,68
68,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,2,a502a7d1c5306b4d1ee249e82344590be5710685b6cc6a9025249ae39ca5ee69,,70
69,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,2,8c3fc66542eadaa30f9ae7361da865017e5721db67753370d95847c24077d4c5,,70
70,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,2,ef12ada97df12ccb48836b71f876dcea0046f07222c68a33968ba61713b7dbe8,,71
70,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,3,5be5ab18e50d592642a0636a103c50c13537a8343722fa6185fa352b2da732e9,,71
70,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,2,e03c331f15a333a458100daa29ebf0537eecafbb30786d2665fedd316ff09b32,,72
71,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,3,1d6e643ed0c1bf61259917eaf6368dfb2b8ef8990168e23418221956c8e7e47d,,72
71,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,4,64d372e67e87ab6f604e2542b569cd77eb532688a8b23f4e25b32844eff11699,,72
72,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,2,16993102cf0e3d672a7a5063e5d4a9505614b07a8fc119f944e33df577e4c422,,73
73,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,3,9f13b31829f756551b0f9f4d1edf57db7dc8f37c29eb1d1594ca994d61916a1b,,74
73,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,5,9b6e1867c8b58e62e8bcd463e0acb34b2fb94a0977b97a02c60280312dafe24f,,74
74,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,4,a2b06b88f23b08d5bc3a63650d59826c50cceb22dc7aaa81ddc8ca9e662a5184,,75
