source,target,latency_ms,jitter,packet_loss
0,0,0.2,0 us,0.0
0,1,1.883,0 us,0.0002395
0,2,1.067,0 us,0.0002162
0,3,1.482,0 us,0.0004
0,4,1.353,0 us,0.0004
1,1,0.2,0 us,0.0
1,2,1.833,0 us,0.0002381
1,5,1.543,0 us,0.0004
1,6,1.272,0 us,0.0004
2,2,0.2,0 us,0.0
2,7,1.26,0 us,0.0004
2,8,1.61,0 us,0.0004
2,9,1.482,0 us,0.0004
3,3,0.2,0 us,0.0
4,4,0.2,0 us,0.0
5,5,0.2,0 us,0.0
6,6,0.2,0 us,0.0
7,7,0.2,0 us,0.0
8,8,0.2,0 us,0.0
9,9,0.2,0 us,0.0
