txid,hosts_seen
0f1a727d59f924486a70e8c68384ffc5b5fa2e8e162c2f75e682bd09c42fd209,c2
150aafa9bdbc09a37af0e899e273e24d72efb180eca612a1ddb8893b75b40058,c1
