host,height,besthash,hash_at_reference,peers,balance_gas
admin,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,999451.3357
m1,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,7.4468
m2,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,19.6774
m3,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,18.3669
c1,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,83.8804
c2,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,89.1462
c3,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,91.8376
c4,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,93.4076
c5,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,94.695
ca,169,0057404b7b9909de358fcf3c7b84dd8ec71688e2dd63a389692734a2225a7f66,00f5ec977194dd993dad0c7ae7c6479af9788a4d5fe3641efb1fd1a59389d263,9,49.3568
