txid,publisher_address,publisher_host,node_address,node_host,esg,blocktime,confirm_height
1e0ed3b9fe6e18be38507f71ffbbd5e5a37a75b53e23af15508bb9397d585bf2,1aT6qnQW9kMKDMgSNuMiw7t9B6qPLq3w1joq6s,,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,m1,85.56,946685064,52
919c18f776338f6d281e705697ce1a78b2a1f5fae0aac65488be6adf0c9a1633,1aT6qnQW9kMKDMgSNuMiw7t9B6qPLq3w1joq6s,,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,m2,26.46,946685064,52
3aab756f7893d0f80b988889a72a2f4d06d78690a3e1ca953f69a4d7d44ccd53,1aT6qnQW9kMKDMgSNuMiw7t9B6qPLq3w1joq6s,,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,m3,24.17,946685064,52
6516377c95d30dc935d86e26e3d23a7d7815f40b5fb3b8574854431dcc048151,1aT6qnQW9kMKDMgSNuMiw7t9B6qPLq3w1joq6s,,1ESxJuPreq5n4ajdCVe721fC6537dAAjkNv6JT,c1,17.5,946685064,52
3bdbdc24aca9f8b5590c2e24fbb9a53d32d40c5c6641b90d6c00215b21518d99,1aT6qnQW9kMKDMgSNuMiw7t9B6qPLq3w1joq6s,,1HeU7vw9ZRKhJuJP3bGUDf7WC1thiW7MqxU5gL,c2,77.16,946685064,52
1aa96c3f26f979c9c098a31fe99144eac9f2a210649d29c66d9306e2c69577f1,1aT6qnQW9kMKDMgSNuMiw7t9B6qPLq3w1joq6s,,1Atoq5b2CCV9JgRDWGbGbZE6tad9Ygdbkamw7L,c3,99.26,946685064,52
e30745b2366861f223aebff39da977a5de8703f36a79fde5b5012d6843f0b9fc,1aT6qnQW9kMKDMgSNuMiw7t9B6qPLq3w1joq6s,,1b7ke8bvGbq9gQxvE3o7PyUM6SQwo6a4xa8Kym,c4,92.76,946685064,52
e9c16a9d72cd050fd3ee7cf3f11f211639d6d58a95ff0b2ed21cdba80334f737,1aT6qnQW9kMKDMgSNuMiw7t9B6qPLq3w1joq6s,,1DAhaHzyUhToVmbabUa4yPFCVCfvdsUZiEM56M,c5,70.53,946685064,52
