txid,hosts_seen
614a754bb97ca69d4a2d5dcc10a8c8e62cfd95f6dc9f4c3d0583782f151c8329,c2
fd1b81ea39fc2caec5d13d18ab7eeefaaeedb177f8dd35941280c448a29c9999,c1
