send_height,kind,to_host,amount_gas
11,init,c1,100.0
11,init,c2,100.0
11,init,c3,100.0
11,init,c4,100.0
11,init,c5,100.0
11,init,m1,50.0
11,init,m2,50.0
11,init,m3,50.0
11,init,ca,50.0
66,refill,m1,100.0
73,refill,m1,100.0
73,refill,m2,100.0
85,refill,m1,100.0
97,refill,m1,100.0
97,refill,m2,100.0
109,refill,m1,100.0
109,refill,m3,100.0
126,refill,m1,100.0
136,refill,m1,100.0
136,refill,m2,100.0
146,refill,m1,100.0
158,refill,m1,100.0
158,refill,m2,100.0
168,refill,m1,100.0
186,refill,m1,100.0
196,refill,m1,100.0
196,refill,m2,100.0
207,refill,m1,100.0
219,refill,m1,100.0
219,refill,m2,100.0
219,refill,m3,100.0
229,refill,m1,100.0
241,refill,m1,100.0
252,refill,m1,100.0
252,refill,m2,100.0
267,refill,m1,100.0
278,refill,m1,100.0
278,refill,m2,100.0
293,refill,m1,100.0
305,refill,m1,100.0
315,refill,m1,100.0
315,refill,m2,100.0
327,refill,m1,100.0
327,refill,m3,100.0
339,refill,m1,100.0
339,refill,m2,100.0
349,refill,m1,100.0
365,refill,m1,100.0
376,refill,m1,100.0
376,refill,m2,100.0
387,refill,m1,100.0
398,refill,m1,100.0
398,refill,m2,100.0
415,refill,m1,100.0
425,refill,m1,100.0
437,refill,m1,100.0
437,refill,m2,100.0
437,refill,m3,100.0
