run_id,livello,tbt,host,address,epoca,peso,height
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,1,1,18
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,1,1,18
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,1,1,18
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,2,4390,29
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,2,4980,29
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,2,2418,29
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,3,47146,41
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,3,24749,41
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,3,7967,41
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,4,46543,53
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,4,94273,53
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,4,12849,53
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,5,86978,65
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,5,43134,65
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,6,100982,77
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,6,52732,77
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,6,12435,77
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,7,96314,89
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,7,47081,89
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,7,14185,89
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,8,89605,101
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,8,44838,101
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,8,12849,101
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,9,100982,113
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,9,48785,113
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,9,14185,113
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,10,51027,125
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,10,103024,125
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,11,96314,137
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,11,48785,137
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,11,12435,137
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,12,91646,149
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,12,47081,149
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,12,12849,149
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,13,84937,161
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,13,42596,161
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,1,1,18
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,1,1,18
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,1,1,18
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,2,2418,29
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,2,4390,29
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,2,4980,29
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,3,24749,41
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,3,47146,41
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,3,7967,41
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,4,89605,53
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,4,44838,53
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,4,12849,53
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,6,89000,77
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,6,42421,77
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,6,11099,77
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,7,94273,89
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,7,14185,89
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,7,48785,89
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,8,12849,101
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,8,47081,101
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,8,98356,101
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,9,94273,113
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,9,48785,113
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,9,14185,113
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,10,103024,125
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,10,51027,125
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,11,86978,137
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,11,11099,137
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,11,44838,137
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,12,40892,149
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,12,87563,149
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,12,12849,149
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,13,47081,161
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,13,91646,161
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,1,1,18
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,1,1,18
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,1,1,18
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,2,8637,29
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,2,7572,29
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,2,3961,29
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,3,43134,41
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,3,86978,41
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,3,12849,41
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,4,89605,53
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,4,42596,53
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,5,11099,65
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,5,47081,65
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,6,48785,77
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,6,95710,77
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,6,14185,77
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,7,36945,89
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,7,76185,89
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,7,11514,89
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,8,86978,101
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,8,44838,101
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,8,12849,101
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,9,91646,113
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,9,47081,113
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,10,94273,125
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,10,44838,125
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,10,11099,125
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,11,48785,137
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,11,96314,137
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,11,14185,137
