sample_height,host,balance_gas
110,c1,99.8042
110,c2,99.8038
110,c3,99.8046
110,c4,99.8042
110,c5,99.8038
110,m1,4.4311
110,m2,21.0269
110,m3,40.3505
110,ca,49.3568
119,c1,99.6074
119,c2,99.6628
119,c3,99.7192
119,c4,99.719
119,c5,99.7184
119,m1,104.9621
119,m2,21.7727
119,m3,40.2745
119,ca,49.3568
129,c1,99.3844
129,c2,99.4954
129,c3,99.6076
129,c4,99.6074
129,c5,99.6626
129,m1,7.0269
129,m2,9.8328
129,m3,32.4986
129,ca,49.3568
139,c1,99.161
139,c2,99.384
139,c3,99.496
139,c4,99.5516
139,c5,99.6068
139,m1,7.1003
139,m2,45.0123
139,m3,26.4135
139,ca,49.3568
148,c1,98.9374
148,c2,99.2162
148,c3,99.3846
148,c4,99.44
148,c5,99.5512
148,m1,7.5746
148,m2,19.1597
148,m3,21.5218
148,ca,49.3568
157,c1,98.7696
157,c2,99.1042
157,c3,99.273
157,c4,99.3842
157,c5,99.4396
157,m1,7.0368
157,m2,48.8546
157,m3,17.4881
157,ca,49.3568
165,c1,98.5458
165,c2,98.9362
165,c3,99.161
165,c4,99.2726
165,c5,99.3838
165,m1,108.2184
165,m2,48.8546
165,m3,117.3827
165,ca,49.3568
172,c1,98.3222
172,c2,98.8244
172,c3,99.0492
172,c4,99.2166
172,c5,99.328
172,m1,7.6419
172,m2,20.6966
172,m3,94.261
172,ca,49.3568
181,c1,98.0986
181,c2,98.6564
181,c3,98.9374
181,c4,99.105
181,c5,99.272
181,m1,6.9769
181,m2,9.3512
181,m3,75.6791
181,ca,49.3568
189,c1,97.9306
189,c2,98.5446
189,c3,98.8814
189,c4,99.049
189,c5,99.216
189,m1,107.4477
189,m2,110.0794
189,m3,75.7909
189,ca,49.3568
197,c1,97.707
197,c2,98.3766
197,c3,98.7696
197,c4,98.9372
197,c5,99.104
197,m1,7.2236
197,m2,45.5885
197,m3,60.9877
197,ca,49.3568
205,c1,97.4832
205,c2,98.2648
205,c3,98.6578
205,c4,98.8812
205,c5,99.048
205,m1,7.1054
205,m2,19.4127
205,m3,49.0842
205,ca,49.3568
213,c1,97.2598
213,c2,98.0972
213,c3,98.546
213,c4,98.7692
213,c5,98.992
213,m1,107.6228
213,m2,119.3075
213,m3,49.6602
213,ca,49.3568
221,c1,97.0918
221,c2,97.9854
221,c3,98.434
221,c4,98.7132
221,c5,98.936
221,m1,6.9051
221,m2,49.4337
221,m3,40.007
221,ca,49.3568
229,c1,96.868
229,c2,97.8176
229,c3,98.3222
229,c4,98.6014
229,c5,98.88
229,m1,7.1519
229,m2,20.9283
229,m3,32.3604
229,ca,49.3568
238,c1,96.6444
238,c2,97.7056
238,c3,98.2102
238,c4,98.5454
238,c5,98.7682
238,m1,107.7605
238,m2,21.2603
238,m3,32.3604
238,ca,49.3568
246,c1,96.4206
246,c2,97.5376
246,c3,98.0982
246,c4,98.4334
246,c5,98.7122
246,m1,8.112
246,m2,9.2759
246,m3,26.1377
246,ca,49.3568
