send_height,kind,to_host,amount_gas
19,init,c1,100.0
19,init,c2,100.0
19,init,c3,100.0
19,init,c4,100.0
19,init,c5,100.0
19,init,m1,50.0
19,init,m2,50.0
19,init,m3,50.0
19,init,ca,50.0
110,refill,m1,100.0
129,refill,m1,100.0
129,refill,m2,100.0
139,refill,m1,100.0
148,refill,m1,100.0
148,refill,m2,100.0
157,refill,m1,100.0
157,refill,m3,100.0
172,refill,m1,100.0
181,refill,m1,100.0
181,refill,m2,100.0
197,refill,m1,100.0
205,refill,m1,100.0
205,refill,m2,100.0
221,refill,m1,100.0
229,refill,m1,100.0
246,refill,m1,100.0
246,refill,m2,100.0
255,refill,m1,100.0
272,refill,m1,100.0
272,refill,m2,100.0
272,refill,m3,100.0
280,refill,m1,100.0
288,refill,m1,100.0
307,refill,m1,100.0
307,refill,m2,100.0
315,refill,m1,100.0
333,refill,m1,100.0
333,refill,m2,100.0
340,refill,m1,100.0
349,refill,m1,100.0
365,refill,m1,100.0
365,refill,m2,100.0
374,refill,m1,100.0
374,refill,m3,100.0
390,refill,m1,100.0
390,refill,m2,100.0
398,refill,m1,100.0
415,refill,m1,100.0
424,refill,m1,100.0
424,refill,m2,100.0
440,refill,m1,100.0
448,refill,m1,100.0
448,refill,m2,100.0
463,refill,m1,100.0
471,refill,m1,100.0
487,refill,m1,100.0
487,refill,m2,100.0
487,refill,m3,100.0
496,refill,m1,100.0
512,refill,m1,100.0
512,refill,m2,100.0
520,refill,m1,100.0
539,refill,m1,100.0
547,refill,m1,100.0
547,refill,m2,100.0
555,refill,m1,100.0
