host,address,esg
m1,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,85.56
m2,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,26.46
m3,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,24.17
c1,1C53cY45GLP1jCtGZ3jjRxK41xDpogMscxLoET,17.50
c2,1KwDQh1YXp8Gjcm5PUTzw4oojyETr76SR6K5g4,77.16
c3,1akYxtSrcSsAR7FUMwZr2RAjBZeS9pefqhTGii,99.26
c4,1RNinnWHk18yFwNrDviXwK4oyJtZRTHU6YR4MW,92.76
c5,1HW1Y78Q8DyPU8YKdN6gzrGyAC2HS8qt346Gcd,70.53
