host,height,besthash,hash_at_reference,peers,balance_gas
admin,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,999307.9883
m1,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,108.5616
m2,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,48.9976
m3,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,25.7475
c1,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,85.9886
c2,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,90.5892
c3,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,92.8918
c4,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,94.2956
c5,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,95.415
ca,416,0010f499416f567507e1174c36f9a44fdabe527e9918ef7ea413f2806f534bf7,009115fc96c8879db58beafc9cc16b88825e9d18c7e4d763f6e1e1cfec789c5e,9,49.3562
