send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
67,6,m1,49.6782,45.2943,68
67,6,m3,51.208,9.8416,68
67,6,m2,49.9952,28.7971,68
73,7,m2,20.8363,11.3018,74
73,7,m1,104.5087,97.3833,74
73,7,m3,41.3212,7.8642,74
85,8,m2,109.8027,64.6816,86
85,8,m3,33.6634,6.3327,86
85,8,m1,108.0492,100.7467,86
97,9,m2,44.9705,25.7823,98
97,9,m3,27.9265,5.1853,98
97,9,m1,108.0711,100.7675,98
109,10,m2,119.3728,70.4237,110
109,10,m3,22.7026,4.1405,110
109,10,m1,108.364,101.0458,110
121,11,m2,48.7987,28.0792,122
121,11,m3,118.5169,23.3034,122
121,11,m1,108.8914,101.5468,122
133,12,m3,95.2599,18.652,134
133,12,m2,20.5689,11.1413,134
133,12,m1,108.7806,101.4416,134
144,13,m2,109.159,64.2954,145
144,13,m3,76.4575,14.8915,145
144,13,m1,109.0238,101.6726,145
157,14,m2,45.94,26.364,158
157,14,m3,61.445,11.889,158
157,14,m1,107.895,100.6002,158
168,15,m3,49.435,9.487,169
168,15,m2,119.7908,70.6745,169
169,15,m1,108.7458,101.4085,170
180,16,m3,39.9586,7.5917,181
180,16,m2,49.1337,28.2802,181
180,16,m1,108.5851,101.2558,181
192,17,m3,32.3839,6.0768,193
192,17,m2,21.1615,11.4969,193
192,17,m1,108.4475,101.1251,193
204,18,m3,26.1565,4.8313,205
204,18,m2,109.4688,64.4813,205
204,18,m1,109.0454,101.6931,205
217,19,m3,21.28,3.856,218
217,19,m2,45.3145,25.9887,218
217,19,m1,108.4591,101.1361,218
230,20,m3,117.4042,23.0808,231
230,20,m2,119.8966,70.738,231
230,20,m1,108.4198,101.0988,231
241,21,m3,94.173,18.4346,242
241,21,m2,49.0078,28.2047,242
241,21,m1,108.731,101.3944,242
252,22,m3,75.5878,14.7176,253
252,22,m2,21.0871,11.4523,253
252,22,m1,108.592,101.2624,253
264,23,m3,60.7194,11.7439,265
264,23,m2,109.2478,64.3487,265
264,23,m1,109.47,102.0965,265
276,24,m3,49.7557,9.5511,277
276,24,m2,45.4653,26.0792,277
277,24,m1,107.7527,100.4651,278
288,25,m3,40.0832,7.6166,289
288,25,m2,119.5089,70.5053,289
288,25,m1,108.6088,101.2784,289
300,26,m3,32.3158,6.0632,301
300,26,m2,49.4784,28.487,301
300,26,m1,108.2846,100.9704,301
314,27,m3,26.1312,4.8262,315
314,27,m2,20.8966,11.338,315
314,27,m1,109.3138,101.9481,315
324,28,m3,21.1836,3.8367,325
324,28,m2,109.3404,64.4042,325
324,28,m1,108.9729,101.6243,325
336,29,m3,117.3017,23.0603,337
336,29,m2,45.7414,26.2448,337
336,29,m1,108.136,100.8292,337
348,30,m3,94.0904,18.4181,349
348,30,m2,120.3828,71.0297,349
348,30,m1,108.0078,100.7074,349
360,31,m3,75.6629,14.7326,361
360,31,m2,49.4267,28.456,361
360,31,m1,108.7394,101.4024,361
372,32,m3,60.7203,11.7441,373
372,32,m2,21.6193,11.7716,373
372,32,m1,108.3464,101.0291,373
385,33,m3,48.9108,9.3822,386
385,33,m2,109.4579,64.4747,386
385,33,m1,109.4333,102.0616,386
396,34,m3,39.4836,7.4967,397
396,34,m2,45.2814,25.9688,397
396,34,m1,108.5105,101.185,397
408,35,m3,31.8359,5.9672,409
408,35,m2,119.4504,70.4702,409
408,35,m1,108.9437,101.5965,409
420,36,m3,25.7475,4.7495,421
420,36,m2,48.9976,28.1986,421
420,36,m1,108.9546,101.6069,421
432,37,m3,20.9528,3.7906,433
432,37,m2,21.9568,11.9741,433
432,37,m1,107.5159,100.2401,433
