experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,argmin_class_host,n,ks_stat,ks_p,mean_gap_x_rate,expected_mean,note
run5-tbt-2s,regionale,1,2,none,true,42,m2,3,0.40975255,0.56766877,0.63403119,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,42,m3,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,43,m1,6,0.50295733,0.06297592,0.35589727,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,43,m2,6,0.40917573,0.20263656,0.46545807,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,44,m1,8,0.30610374,0.36604078,1.96640639,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,44,m3,3,0.70555794,0.05105397,2.18902674,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,44,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,45,m1,9,0.14501016,0.9773466,0.80578971,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,45,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,45,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,46,m1,8,0.20375529,0.8327837,0.88139288,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,46,m2,4,0.20320855,0.9856336,1.14340799,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,47,m1,6,0.17645364,0.97378548,1.47331164,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,47,m2,5,0.27078052,0.77494416,1.1700379,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,47,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,48,m1,9,0.21204346,0.73883337,0.67885302,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,48,m2,3,0.36542126,0.69054717,1.06878986,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,49,m1,7,0.19044768,0.92251884,0.79350863,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,49,m2,4,0.37523926,0.51872392,0.98717615,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,49,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,50,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,50,m1,8,0.32058433,0.31268288,0.53631661,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,50,m2,3,0.87758623,0.00366877,0.08435305,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,51,m1,9,0.31902832,0.25824562,1.64919804,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,51,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,51,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,52,m1,7,0.25270813,0.67587388,1.3652132,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,52,m3,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,52,m2,3,0.64963084,0.08715283,1.42697177,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,53,m1,9,0.28730284,0.37469602,1.04944988,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,53,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,53,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,54,m1,8,0.27338336,0.50446749,1.24731846,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,54,m2,4,0.24177143,0.92860338,0.92969858,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,55,m1,9,0.24791202,0.55734188,0.76031532,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,55,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,all,m1,305,0.06007253,0.21233621,1.08264006,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,all,m2,108,0.07346808,0.57878058,1.07964299,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,all,m3,45,0.20095574,0.04542654,1.26645061,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
